epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1641.71,0.27586,0.20646,0.8446,0.99724,0.99744,0.99302,0.98286,0.23217,0.14922,0.81171,0.00040892,0.00040892,0.00040892
94,1659.02,0.26965,0.20262,0.83426,0.99728,0.99744,0.99299,0.98088,0.24967,0.15542,0.81699,0.00040793,0.00040793,0.00040793
95,1676.36,0.26366,0.19812,0.83115,0.9973,0.99744,0.99286,0.98122,0.24238,0.15347,0.81736,0.00040694,0.00040694,0.00040694
96,1693.71,0.28141,0.20605,0.85077,0.99733,0.99744,0.993,0.98362,0.22798,0.14884,0.81389,0.00040595,0.00040595,0.00040595
97,1711.51,0.27356,0.20136,0.83993,0.99733,0.99734,0.99299,0.98383,0.22962,0.14799,0.81531,0.00040496,0.00040496,0.00040496
98,1728.97,0.28431,0.20719,0.85267,0.9973,0.99722,0.993,0.98426,0.22603,0.14607,0.81371,0.00040397,0.00040397,0.00040397
99,1748.3,0.27959,0.20553,0.84645,0.99732,0.99725,0.99322,0.98414,0.23577,0.14933,0.81503,0.00040298,0.00040298,0.00040298
100,1766.11,0.26987,0.20116,0.84545,0.9973,0.99744,0.99296,0.9843,0.22675,0.14479,0.81358,0.00040199,0.00040199,0.00040199
101,1783.29,0.26457,0.19671,0.83562,0.99731,0.99744,0.99296,0.98373,0.22782,0.14729,0.81291,0.000401,0.000401,0.000401
102,1801.21,0.27234,0.20255,0.8406,0.99725,0.99744,0.99296,0.98302,0.22628,0.14689,0.81274,0.00040001,0.00040001,0.00040001
103,1819.61,0.27116,0.20105,0.84296,0.9973,0.99744,0.99299,0.98423,0.22662,0.14667,0.81103,0.00039902,0.00039902,0.00039902
104,1836.84,0.27718,0.20215,0.8494,0.99731,0.99744,0.99299,0.98452,0.22706,0.14694,0.81109,0.00039803,0.00039803,0.00039803
105,1856.64,0.27695,0.20201,0.84834,0.99733,0.99726,0.99303,0.98316,0.23674,0.14821,0.81324,0.00039704,0.00039704,0.00039704
106,1873.78,0.2745,0.20436,0.84246,0.99737,0.99744,0.9932,0.9845,0.2282,0.14621,0.80969,0.00039605,0.00039605,0.00039605
107,1891.03,0.28427,0.21087,0.86165,0.99732,0.99744,0.99366,0.98476,0.22992,0.14813,0.80754,0.00039506,0.00039506,0.00039506
108,1908.2,0.26136,0.19993,0.83349,0.99729,0.99744,0.99369,0.98571,0.22567,0.14749,0.80772,0.00039407,0.00039407,0.00039407
109,1925.53,0.26486,0.19918,0.84388,0.99739,0.99717,0.99318,0.9855,0.22205,0.14322,0.80836,0.00039308,0.00039308,0.00039308
110,1942.4,0.25765,0.19584,0.83256,0.99725,0.99744,0.99312,0.98326,0.2327,0.14533,0.80984,0.00039209,0.00039209,0.00039209
111,1959.46,0.26902,0.20159,0.83968,0.99731,0.99744,0.99309,0.9843,0.2241,0.14224,0.80775,0.0003911,0.0003911,0.0003911
112,1976.44,0.2784,0.20673,0.8493,0.99732,0.99724,0.993,0.98406,0.22113,0.13996,0.80736,0.00039011,0.00039011,0.00039011
113,1993.86,0.27081,0.19873,0.85037,0.9973,0.99726,0.99302,0.98434,0.22353,0.14157,0.80937,0.00038912,0.00038912,0.00038912
114,2011.1,0.2635,0.19578,0.84614,0.99732,0.99744,0.99328,0.98361,0.2277,0.14322,0.8087,0.00038813,0.00038813,0.00038813
115,2028.74,0.25459,0.19359,0.8326,0.99732,0.99744,0.99394,0.98518,0.2257,0.14147,0.80676,0.00038714,0.00038714,0.00038714
116,2045.95,0.25866,0.1945,0.83362,0.99731,0.99734,0.99355,0.98536,0.22198,0.14043,0.80898,0.00038615,0.00038615,0.00038615
117,2063.09,0.26946,0.20031,0.84745,0.99732,0.99735,0.99325,0.98433,0.22322,0.14417,0.81035,0.00038516,0.00038516,0.00038516
118,2080.36,0.26595,0.19516,0.84637,0.99723,0.99744,0.99409,0.98479,0.23168,0.14486,0.81143,0.00038417,0.00038417,0.00038417
119,2097.53,0.26241,0.19632,0.83957,0.99725,0.99744,0.99416,0.98644,0.21942,0.14298,0.81019,0.00038318,0.00038318,0.00038318
120,2116.5,0.267,0.19789,0.84182,0.99715,0.99744,0.99365,0.98564,0.21942,0.14434,0.81185,0.00038219,0.00038219,0.00038219
121,2133.77,0.25802,0.19293,0.83464,0.99731,0.99729,0.99336,0.98547,0.22122,0.14415,0.81261,0.0003812,0.0003812,0.0003812
122,2151.24,0.25715,0.19199,0.83087,0.99732,0.99736,0.99314,0.98419,0.23025,0.14596,0.81532,0.00038021,0.00038021,0.00038021
123,2168.14,0.25632,0.19182,0.83935,0.99732,0.99734,0.99345,0.98605,0.2192,0.14059,0.81488,0.00037922,0.00037922,0.00037922
124,2185.57,0.25771,0.19339,0.83642,0.99726,0.99728,0.99346,0.98523,0.22456,0.14262,0.81414,0.00037823,0.00037823,0.00037823
125,2202.71,0.26079,0.19202,0.83328,0.99725,0.99723,0.99334,0.98479,0.22704,0.14554,0.81457,0.00037724,0.00037724,0.00037724
126,2220.14,0.25993,0.1925,0.83872,0.99726,0.99726,0.99325,0.98553,0.21693,0.14248,0.81217,0.00037625,0.00037625,0.00037625
127,2237.42,0.25287,0.19038,0.83674,0.99724,0.99716,0.99306,0.98546,0.21637,0.1419,0.81259,0.00037526,0.00037526,0.00037526
128,2254.84,0.25729,0.18936,0.83935,0.99715,0.99744,0.99329,0.9858,0.21463,0.14126,0.81094,0.00037427,0.00037427,0.00037427
